timestamp,name,price,change_24h,market_cap
2025-12-03 22:52:42,,"CoinMarketCap 20 Index DTF
CMC20
Buy",1.25%,5.31%
2025-12-03 22:52:42,1,"Bitcoin
BTC
Buy",0.64%,5.48%
2025-12-03 22:52:42,2,"Ethereum
ETH
Buy",1.21%,5.58%
2025-12-03 22:52:42,3,"Tether
USDT
Buy",0.01%,0.02%
2025-12-03 22:52:42,4,"XRP
XRP
Buy",0.43%,0.89%
2025-12-03 22:52:42,5,"BNB
BNB
Buy",0.68%,2.79%
2025-12-03 22:52:42,6,"Solana
SOL
Buy",0.07%,2.66%
2025-12-03 22:52:42,7,"USDC
USDC
Buy",0.01%,0.01%
2025-12-03 22:52:42,8,"TRON
TRX
Buy",0.05%,1.62%
2025-12-03 22:52:42,9,"Dogecoin
DOGE
Buy",1.05%,1.29%
2025-12-03 22:52:42,10,"Cardano
ADA
Buy",1.27%,4.51%
2025-12-03 22:52:42,11,"Bitcoin Cash
BCH
Buy",1.68%,11.22%
2025-12-03 22:52:42,12,"Hyperliquid
HYPE
Buy",0.43%,1.01%
2025-12-03 22:52:42,13,"Chainlink
LINK
Buy",0.35%,10.47%
2025-12-03 22:52:42,14,"UNUS SED LEO
LEO
Buy",0.58%,3.13%
2025-12-03 22:52:42,15,"Stellar
XLM
Buy",0.14%,1.61%
2025-12-03 22:52:42,16,"Monero
XMR
Buy",0.11%,2.73%
2025-12-03 22:52:42,17,"Ethena USDe
USDe
Buy",0.00%,0.03%
2025-12-03 22:52:42,18,"Litecoin
LTC
Buy",0.52%,1.06%
2025-12-03 22:52:42,19,"Sui
SUI
Buy",0.13%,12.53%
2025-12-03 22:52:42,20,"Hedera
HBAR
Buy",0.46%,0.42%
2025-12-03 22:52:42,21,"Avalanche
AVAX
Buy",1.10%,1.38%
2025-12-03 22:52:42,22,"Zcash
ZEC
Buy",2.76%,32.59%
2025-12-03 22:52:42,23,"Shiba Inu
SHIB
Buy",3.49%,11.09%
2025-12-03 22:52:42,24,"Dai
DAI
Buy",0.03%,0.01%
2025-12-03 22:52:42,25,"World Liberty Financial
WLFI
Buy",0.45%,0.71%
2025-12-03 23:08:27,,"CoinMarketCap 20 Index DTF
CMC20
Buy",0.84%,4.89%
2025-12-03 23:08:27,1,"Bitcoin
BTC
Buy",0.16%,4.09%
2025-12-03 23:08:27,2,"Ethereum
ETH
Buy",0.34%,3.68%
2025-12-03 23:08:27,3,"Tether
USDT
Buy",0.01%,0.01%
2025-12-03 23:08:27,4,"XRP
XRP
Buy",0.33%,1.81%
2025-12-03 23:08:27,5,"BNB
BNB
Buy",0.55%,1.97%
